歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
2952963929,小鬼王琳凯唱歌合集,Luan鬼夫人,1398383841,介绍：	关于小鬼王琳凯的歌单	,33,115456,986,4,评论
6631262910,就怕rapper说情话 撒时候有甜甜的恋爱,GRU__iZa,1294496571,介绍：	原来rapper的嘴巴不只有diss 还有甜甜的kiss	,172,1317367,12080,126,52
3097267488,“爱 在 黄 昏日落 时”,涵崽ikn,1829676170,介绍：	对大部分的喜欢都是一时的 包括爱也是。	建议：听完歌单再去评论		,46,1012064,10698,90,20
6606779144,甜蜜Rap: 俘获你的芳心只需要一个beat,钟泽希,59525119,介绍：	恰好路口，你也在等着那个红绿灯； 		恰好今天，你也听着那首我喜欢的歌；		恰好旅途，你也经过那个车站。 		你纠结，我恰好笃定； 		你难过，我恰好能哄你开心； 		你失眠，我恰好陪你一起醒着。	,19,175344,1393,18,8
6656946202,姜云升（未发歌 -架歌 写废歌）,匀升Y,1960306301,介绍：	喜欢姜云升/rap的小盆友们进来来康康哦	姜云升你是我第一个喜欢的rapper	四年啦 你终于火啦！！冲冲冲	给我红到西海岸！！！	《教父》《向前》还有直播时候写废的歌都可以在节目上找到或者去B站找	,101,1307822,36987,457,102
2523624603,迷幻Trap|嘻哈毒鸡汤,SteveRillex,395293841,介绍：	最早的“Trap”在俚语里指的是毒品交易的地方和难以挣脱的生存环境，这个词起源于亚特兰大，Dungeon Family， Outkast， Goodie Mob和Ghetto Mafia等黑人嘻哈歌手是最早在音乐内容加入“Trap”的歌手。歌迷和...	,113,5820267,82341,1141,343
6975738864,旧派说唱 | Old School,云音乐说唱专区,3856379473,介绍：	旧派说唱（Old School）时期通常指1979-1984年内的说唱音乐，在得到70年代多位DJ（包括Kool DJ Herc、Grandmaster Flash、Afrika Bambaataa等）技术上的革新后，结合Breakbeat（碎拍）、Scratching（搓碟）...	,84,6848,40,0,1
2313914132,lil jet 豆芽 姜云升 马思唯 法老,云朵西柚,586935975,介绍：	你应该知道我这么帅只会出现在动漫	,137,1219295,18493,122,57
6610703103,东京街头嘻哈正在入侵,Zxy在向下扎根,443546368,介绍：	以往和传统流行市场所认可的流派相比，hip-hop仍旧只是个外来者。不过近几年，日本hip-hop文化的兴起令人感到十分欣喜。		不仅如此，如今日本各大城市可供选择的说唱类型呈现出多元化的趋势。Hip-hop最早通...	,45,149926,6882,2725,3
7026959311,甜蜜Hip-hop｜夏日粉色心动,MATcH是火柴,5049214871,介绍：	你是我无限脑海和永恒时间的嚣张份子，而无限与永恒是我与你能共享的唯一。cr. 网络		——2021.4.29/22:39	,28,64111,660,9,2
2246029783,R&B「中文说唱」旋律控-说唱叙事,戴草帽的香克斯,121872884,介绍：	收藏最宝藏的说唱旋律	,97,1210013,12915,88,12
2452114012,超甜/只可私藏 不能共享,等你的双眼陪我看世界,399754502,介绍：	嘴甜是因为心甜，心甜是因为你在里面	,73,2136533,30801,355,74
6682411138,Lil Nas X（李娜叉）|无重复收录,子半天胜,431018448,介绍：	李娜叉所有歌曲，持续更新……	,29,104822,1118,6,17
6662878509,即刻律动 • 节奏当道 | R&B/Trap/Hip-Hop*,Bronkent,137455276,介绍：	这是一个杂烩向歌单 主要收录如下*	收录曲风包括: Rap，Trap，Hip-Hop，R&B，Future Bass，Dance-Pop*	每一首都是个人精选 只为解决您的歌荒*	新旧歌曲同步交叉 顺序较乱 还请谅解*	可随机/循环播放 惊喜宝藏多...	,1245,1196786,12922,306,40
5363801096,2020 Billboard 说唱年榜收录,云音乐说唱专区,3856379473,介绍：	2020年 Billboard年榜说唱最热单曲收录，歌单顺序根据排名决定	,51,901171,8548,73,52
6942269212,为你赴汤蹈火｜饶过舌却绕不过你,Cast-Off-Music3,4987484153,介绍：	饶过舌，绕过全世界，却绕不过你！！！	,39,130026,2309,218,13
6636093831,rapper的情话，是你永远猜不透的谜语,71192_,1765683924,介绍：	来评论区写下你们的甜蜜日记	,353,1153424,11958,92,101
2689902290,♥︎ 超 甜 rap 想 和 你 坠 入 爱 河 ♥︎,站在月亮上的少女,401377310,介绍：	甜甜的恋爱很快就会轮到你啦	2021一定会是美好的一年	,52,6568553,84742,926,220
5321504769,【☞新疆新说唱-RaP♛♪】★Mung KuY,KOMPAS_,1542549692,介绍：	【★】♛新疆新说唱来了-喜欢的来听 ♛【★】MuNG Kuy	,107,224992,1345,14,5
6773453509,『说唱』清晨/日暮/落日/海风/晚霞/皆予你,肆玖新青年,383335179,介绍：	好听的旋律说唱	每天都会增加新歌	姜云升	刘聪	乃万	黄礼格	马思维	Santa-SA / 马也	蜡笔小新	Copy / BT07_PZ	大年	林达浪	Plggu	幼稚园杀手	LKF34	前男友	王以太	XMASwu	GS.L	KaFe Fu	...	...	...!	大家点...	,308,1094132,11549,99,43
6654071246,Beattle beat丨上等好货丨freestyle 伴奏,一个EDA,374150187,介绍：	Battle beat	都是自选好货	用的时候记得收藏	下次方便找到我这个宝藏歌单	,34,14694,2406,1,评论
5369148099,【精选】Boombap Old school说唱伴奏 Rap,西蒙的孩子,1464389727,介绍：	精选优质的 Boombap 伴奏		各位Rappper 抓紧收藏		持续更新—狠货源源不断		制作人们拿出优秀的作品踊跃投稿	,12,41540,505,228,评论
